timestamp,description
07-04-24 17:28:35,dex_data_BOT_v2.py called
07-04-24 17:29:29,dex_data_BOT_v2.py called
"07-04-2024 17:29:37","update_account_PNL() starting now."
"07-04-2024 17:31:19","update_account_PNL() starting now."
"07-04-2024 17:33:01","update_account_PNL() starting now."
"07-04-2024 17:34:42","update_account_PNL() starting now."
"07-04-2024 17:36:23","update_account_PNL() starting now."
"07-04-2024 17:38:05","update_account_PNL() starting now."
"07-04-2024 17:39:42","buy_all_from_filtered() starting now."
"07-04-2024 17:39:46","update_account_PNL() starting now."
07-04-24 17:40:03,dex_data_BOT_v2.py called
"07-04-2024 17:41:27","update_account_PNL() starting now."
"07-04-2024 17:41:40","buy_all_from_filtered() starting now."
"07-04-2024 17:43:09","update_account_PNL() starting now."
07-04-24 17:43:22,dex_data_BOT_v2.py called
"07-04-2024 17:43:39","buy_all_from_filtered() starting now."
"07-04-2024 17:44:50","update_account_PNL() starting now."
"07-04-2024 17:45:37","buy_all_from_filtered() starting now."
"07-04-2024 17:46:33","update_account_PNL() starting now."
"07-04-2024 17:47:37","buy_all_from_filtered() starting now."
"07-04-2024 17:48:15","update_account_PNL() starting now."
"07-04-2024 17:49:37","buy_all_from_filtered() starting now."
"07-04-2024 17:49:56","update_account_PNL() starting now."
"07-04-2024 17:51:38","update_account_PNL() starting now."
"07-04-2024 17:51:39","buy_all_from_filtered() starting now."
"07-04-2024 17:53:19","update_account_PNL() starting now."
"07-04-2024 17:53:36","buy_all_from_filtered() starting now."
"07-04-2024 17:55:00","update_account_PNL() starting now."
"07-04-2024 17:55:43","buy_all_from_filtered() starting now."
"07-04-2024 17:56:41","update_account_PNL() starting now."
"07-04-2024 17:57:48","buy_all_from_filtered() starting now."
"07-04-2024 17:58:22","update_account_PNL() starting now."
"07-04-2024 17:59:54","buy_all_from_filtered() starting now."
"07-04-2024 18:00:04","update_account_PNL() starting now."
"07-04-2024 18:01:44","update_account_PNL() starting now."
